source,target,database
PTCH1,GLI1,STRING
PTCH1,SMO,STRING
PTCH1,SFRP2,STRING
PTCH1,DISP1,STRING
PTCH1,STK36,STRING
PTCH1,IHH,STRING
PTCH1,HHIP,STRING
PTCH1,SHH,STRING
PTCH1,KIF27,STRING
PTCH1,PAX3,STRING
PTCH1,KIF7,STRING
PTCH1,PTCH2,STRING
PTCH1,GLI2,STRING
PTCH1,SUFU,STRING
PTCH1,GLI3,STRING
PTCH1,DHH,STRING
PTCH2,GLI1,STRING
PTCH2,SMO,STRING
PTCH2,DISP1,STRING
PTCH2,STK36,STRING
PTCH2,IHH,STRING
PTCH2,HHIP,STRING
PTCH2,SHH,STRING
PTCH2,KIF27,STRING
PTCH2,PTCH1,STRING
PTCH2,SUFU,STRING
PTCH2,KIF7,STRING
PTCH2,GLI3,STRING
PTCH2,GLI2,STRING
PTCH2,DHH,STRING
RELCH,HEATR6,STRING
RELCH,HEATR4,STRING
RELCH,STK36,STRING
RELCH,INTS4,STRING
RSPH1,RSPH4A,STRING
RSPH1,RSPH3,STRING
RSPH1,DNAH9,STRING
RSPH1,GAS8,STRING
RSPH1,SPAG6,STRING
RSPH1,SPEF2,STRING
RSPH1,STK36,STRING
RSPH1,TTC25,STRING
RSPH1,CFAP221,STRING
RSPH1,DNAAF5,STRING
RSPH1,CCDC151,STRING
RSPH1,DNAH11,STRING
RSPH1,LRRC6,STRING
RSPH1,CCDC40,STRING
RSPH1,CCDC103,STRING
RSPH1,RSPH9,STRING
RSPH3,RSPH4A,STRING
RSPH3,STK36,STRING
RSPH3,PACRG,STRING
RSPH3,CFAP221,STRING
RSPH3,SPEF2,STRING
RSPH3,DNAH9,STRING
RSPH3,LRRC6,STRING
RSPH3,CCDC103,STRING
RSPH3,TTC25,STRING
RSPH3,CCDC151,STRING
RSPH3,DNAAF5,STRING
RSPH3,CCDC40,STRING
RSPH3,DNAH11,STRING
RSPH3,SPAG6,STRING
RSPH3,GAS8,STRING
RSPH3,RSPH1,STRING
RSPH3,RSPH9,STRING
RSPH4A,CFAP221,STRING
RSPH4A,STK36,STRING
RSPH4A,PACRG,STRING
RSPH4A,TTC25,STRING
RSPH4A,SPEF2,STRING
RSPH4A,SPAG6,STRING
RSPH4A,CCDC151,STRING
RSPH4A,DNAH9,STRING
RSPH4A,GAS8,STRING
RSPH4A,DNAAF5,STRING
RSPH4A,LRRC6,STRING
RSPH4A,CCDC103,STRING
RSPH4A,CCDC40,STRING
RSPH4A,RSPH3,STRING
RSPH4A,DNAH11,STRING
RSPH4A,RSPH1,STRING
RSPH4A,RSPH9,STRING
RSPH9,RSPH4A,STRING
RSPH9,RSPH3,STRING
RSPH9,DNAH9,STRING
RSPH9,GAS8,STRING
RSPH9,RSPH1,STRING
RSPH9,STK36,STRING
RSPH9,DNAAF5,STRING
RSPH9,PACRG,STRING
RSPH9,SPEF2,STRING
RSPH9,CCDC151,STRING
